project,class,ce,ce ml,ca,ca ml
designwizard,org.designwizard.design.DesignIF,8,3,2,3
designwizard,org.designwizard.patternchecker.CheckingResult,2,1,2,6
designwizard,tests.org.designwizard.design.PackageExtractionTest,6,10,1,1
designwizard,org.designwizard.design.manager.util.TranslatorUtil,0,0,2,7
designwizard,org.designwizard.designrules.HashCodeAndEqualsRule,4,5,0,0
designwizard,org.designwizard.design.manager.ResultOfImpact,0,0,2,2
designwizard,tests.org.designwizard.extractor.ASMExtractorTest,3,5,1,1
designwizard,org.designwizard.design.Entity,6,6,15,34
designwizard,tests.org.designwizard.design.FieldNodeTest,11,17,2,4
designwizard,tests.suites.AllTests,20,0,2,2
designwizard,tests.org.designwizard.design.mocks.localvariables.LocalVariable,0,0,1,6
designwizard,org.designwizard.design.AbstractEntity,5,8,28,79
designwizard,org.designwizard.api.DesignWizard,11,31,29,128
designwizard,tests.org.designwizard.design.mocks.Anexo,0,0,0,0
designwizard,org.designwizard.extractor.asm.event.FactEvent,0,0,4,23
designwizard,tests.org.designwizard.system.ImpactTest,5,9,0,0
designwizard,tests.org.designwizard.patternchecker.SingletonPatternCheckerTest,8,11,1,1
designwizard,tests.org.designwizard.design.AnnotationsOfClassTest,4,11,1,1
designwizard,tests.org.designwizard.design.AnnotationsOfFieldTest,5,6,1,1
designwizard,org.designwizard.design.factory.AbstractElementsFactory,3,2,4,7
designwizard,org.designwizard.exception.InexistentEntityException,0,0,6,11
designwizard,org.designwizard.extractor.asm.visitor.FactsExtractionFieldVisitor,4,11,1,16
designwizard,org.designwizard.extractor.asm.event.FactsEventSource,1,0,1,2
designwizard,org.junit.runners.Suite$SuiteClasses,0,0,0,0
designwizard,org.designwizard.design.ClassNode,11,20,31,135
designwizard,org.designwizard.design.relation.Relation$TypesOfRelation,1,1,13,7
designwizard,tests.org.designwizard.design.RedBarTest,4,7,2,2
designwizard,tests.org.designwizard.design.AnnotationsOfMethodTest,5,6,1,1
designwizard,org.designwizard.design.FieldNode,9,11,12,94
designwizard,org.designwizard.patternchecker.PatternChecker,2,1,1,1
designwizard,tests.org.designwizard.design.InternalClassExtractionTest,3,5,1,1
designwizard,tests.org.designwizard.system.TraceForMethods,5,7,0,0
designwizard,org.designwizard.design.Entity$TypesOfEntities,0,0,6,0
